,f04359f2-5f54-4fbd-8c2b-3630e5f0bbeb,ed505386-a72e-4f8d-8eb9-f3332568c10e,4ee2c93b-660f-416f-a352-c8e9ab77fafd,51814a38-7a25-4a0e-8836-8874b783468f,45a10839-4814-4c45-9b47-7450f91bec80,0cccbfdf-c4b5-4080-8824-8a2c76809def,25e1cc1f-8df2-4a45-939a-48767cec2c19,0ceab198-b54c-4a2f-9482-574eaaaae3dc,54e09481-75b7-4677-a361-1b9770517c2a,0d7669a0-08c3-486d-872a-56c8abcc59f4,15094fa4-17d8-4119-aa85-b19368630e3b,dc9aafba-f824-4a6a-8bc9-541eced8f4d8,c3afd687-0301-4c93-97a3-1a340b83c8da,5c460ee2-6a8d-4289-a670-b03ce1236f04,4e491aef-ff86-4c5a-9542-00a23848f7d5,8a6a9b07-09fd-44b6-acd7-a586fd215005,2d93b702-ba67-4159-b837-5f01a19b8eae,9405f407-0e2b-4b06-ba09-21b90e987116,c8c36597-6777-426f-bef7-97e2aff61709,cb1f4794-571b-4151-9599-822d1d1e00f5,ad2f45c4-23c6-406c-ba40-915e819207b3,11f49d45-cc2b-4e8c-aa26-6b62f906f0e0,31e81dbf-b2da-4144-9fdf-49f0fdddf6ba,7cf9abc1-b4c5-4432-9176-942353624ba7,46a00667-ac19-4e10-9a9a-e1d6df3efd12,fb9b1605-6148-438f-9d5b-e8b976e99fd5,69a73fa6-e86b-48df-9aec-91c8f838c783,5adbc794-7ea4-481e-9b50-fb2ef89e4021,65273722-e0aa-4fbd-8b9f-7797a41eb682,b2e1e5fd-3b5a-4b5f-bb7c-14cc5299bb27,d870e477-fd50-4266-957d-9a3e12ac9799,95fe4784-0098-4ca2-be7a-4198722a7d06,074fc242-d5ac-478e-bf84-9d6e782002c5,9940c287-f561-4ec0-ac79-3f6846c99dc0,fba68630-e659-4b04-8741-032dbbce8c05,e67069c9-26b7-4b0b-9300-c006cd969159,d4d1164b-526b-4154-97a5-b916937d19d7,04fafe64-6e6e-46b2-b94e-3d1f0adecc6a,512c7c41-81ce-43a3-8d52-3950b7bfc8c1,8a0e356f-12c9-45c4-b77e-a8a3748e5e85,58d6767d-1f67-441b-b4e1-13c11856f3e9,52db7beb-dabd-4f8e-b3c4-aa24823afa70,244ee6f8-7582-4df6-8a1c-a7720f82c9ad,472a68e0-bd02-4a3d-9385-09b1a42c1aae,887f6123-0b96-42a4-a6fd-6857ba2dc51b,5d4e749e-ca04-455f-b866-bb9b749eb772,fb439645-d31a-49e0-b57a-9df33a05265d,171740ce-b978-407d-9c42-b24bd8be4f42
PAPPA2,52.70477762872768,47.99969043442369,52.49262202043133,63.94159529460324,51.98029099164173,48.64585698070375,40.271592198947474,52.29904034671345,65.71034980910123,98.86451346610257,42.53946961097926,53.91363120421009,56.94314312248478,51.78877308843256,59.934372097822724,44.578165308017745,70.53121452894437,49.694768341760394,54.18945413270044,49.24104839541843,88.41533381487979,59.72655040759467,51.490867815498916,48.08967082860386,52.29150758435662,46.85956041688164,45.805180063976884,70.7639046538025,64.6354349396347,64.53142090599525,42.227427510060885,42.99907130327107,73.21741822309359,31.379527396553502,91.2515736250129,57.56485398823651,39.40346713445465,48.82798472809824,79.28851511711898,42.30688267464658,38.47229388092044,82.23537302651945,64.6528738004334,57.25869363326798,56.23165823960375,52.42792281498297,60.57940357032298,64.31204210091838
DNAH3,124.99007584314991,104.77771502339841,111.5645473616266,144.07463288688075,136.4155236404712,118.96909795062126,68.58842988542844,108.1400677747297,116.77303533968049,167.0502662578667,100.31305470388898,130.75133128933354,140.65814103598515,124.02896562852993,157.70001613684042,115.69928997902211,150.5045989995159,95.93262869130224,167.52267226077134,123.69331934807165,142.57229304502178,143.1769404550589,109.45554300467968,127.27650476036791,126.92109085041149,120.28142649669195,125.44497337421333,227.74931418428272,108.80337259964499,144.31660480877844,111.12780377602066,78.4191544295627,157.45522026787154,77.75447797321284,201.33395191221558,132.2385831854123,107.03759883814749,118.81741165079877,94.52759399709537,78.99136679038244,69.2619009197999,157.51839599806357,153.88341132806195,138.2247861868646,84.4354526383734,107.78562207519768,135.08076488623527,145.10771340971436
ATRX,129.9300356506239,181.23814616755794,147.36417112299466,169.47700534759358,140.18475935828877,122.77361853832443,139.077183600713,267.6101604278075,62.04224598930481,78.21978609625668,106.33894830659537,64.0433155080214,148.24866310160428,69.91586452762924,308.0132798573975,193.19474153297682,140.36167557932265,133.74893048128342,101.47691622103387,261.97130124777186,82.28770053475935,295.68957219251337,137.99126559714796,137.7777183600713,141.62762923351158,215.11791443850268,195.60695187165774,150.8643493761141,112.98511586452763,112.31960784313725,219.6529411764706,59.61336898395722,94.1674688057041,168.60035650623885,67.58565062388591,139.26996434937612,77.61408199643493,82.80133689839572,135.1782531194296,113.11194295900178,55.56639928698752,75.79055258467024,77.94456327985739,146.72584670231728,96.66229946524064,107.1145276292335,68.70516934046346,72.42210338680927
ADAMTS12,81.44381126054252,72.33690449054023,53.3251652609984,97.97424207886938,81.50672441303853,57.06553453385001,49.41691360838842,80.81217232733076,63.33302940506041,94.46831547754729,51.63209482562115,67.74071119215866,89.31445178937771,67.08137679507637,97.73968543423751,69.53624344654662,88.09801686801914,59.53555960793253,87.51504444950992,78.85559607932528,74.7698883063597,105.40004558924095,66.23831775700934,73.45851379074539,82.48871666286756,83.01869158878505,87.87884659220424,89.7937086847504,67.73934351493048,59.97663551401869,64.72863004330978,50.06849783451106,91.6534077957602,48.6507864144062,108.1507864144062,75.12844768634602,56.993389560063825,64.12343286984272,60.48563938910417,48.51652609984044,45.35844540688397,106.35012537041258,81.66320948256211,87.50330521996808,52.79883747435605,65.32186004103032,76.89936175062685,84.81604741281058
BIRC6,160.24848755014966,124.97662866968095,116.81417563522893,162.76036426160607,175.2023180284022,133.69891103610775,108.1974781888811,141.73890339425589,115.40272559383557,154.8604725211743,152.2333312105967,123.47143857861555,187.10577596637586,114.63605680443227,145.0832325033433,119.45863847672419,134.88333439470165,139.59657390307584,124.29249188053238,159.64185187543782,132.20480163026173,191.8239189963701,151.45118767114565,170.92485512322486,203.2751703496147,161.97631025918614,175.98681780551487,85.917913774438,143.1604788893842,100.25122588040502,150.25893141437942,116.74546265044896,153.94224033624147,101.99904476851557,168.041839139018,133.0974972935108,140.3750238807871,110.52633254792077,145.12488059606446,109.36578997643763,111.8591351970961,141.57543144622048,145.79908297777496,181.01547475004776,135.89326880213972,137.7547602368974,126.05935171623257,133.4666624211934
FBXW7,111.57918006430869,76.02230707395498,98.95116559485531,91.00221061093248,113.28175241157557,63.497588424437296,36.53135048231511,94.24979903536978,75.17966237942122,68.77190514469453,61.43488745980707,80.45136655948554,125.28878617363344,83.10731511254019,95.71282154340837,65.77391479099678,97.34244372990354,69.98814308681672,82.24296623794213,101.32053858520901,50.17524115755627,127.64730707395498,79.73934887459806,111.21040996784566,111.52934083601286,105.74155948553054,101.56370578778134,60.302451768488744,96.66137459807074,67.95779742765274,96.72467845659163,52.976487138263664,105.3838424437299,66.67001607717042,124.23271704180064,89.19493569131832,65.57194533762058,72.96020900321544,71.56028938906752,49.36314308681672,50.9278536977492,100.68227491961414,100.0056270096463,122.02431672025723,62.780546623794216,87.1499196141479,86.98954983922829,90.87640675241157
APOB,160.70221655690108,119.60300262021103,112.55753841795907,173.85355144819772,155.42787338007224,114.21521138729551,88.37299058140358,137.94674598116282,118.26832377310389,162.63161249203316,124.57772112456625,75.30868918631825,170.99348488067417,116.01947454146307,134.13115218468948,118.18291905672403,146.87288435663197,118.64450109765598,129.5527937114935,153.79958926421642,139.77020041073578,187.91381630196162,141.6961263366617,152.21152892854613,182.50598399546774,148.08802492741307,170.07067488138233,89.01465901848312,134.75079668578712,108.14517385454288,135.2652786629842,97.6008781247787,177.1579916436513,102.131931166348,155.41512640747823,128.78379718150273,112.61072162028185,116.75079668578712,117.29934140641598,96.90765526520785,92.57269315204306,153.9745768713264,150.77324552085545,172.38354224205085,107.81127398909426,127.30288223213654,135.92670490758445,143.6154663267474
XIST,0.12985732814526588,0.3715693904020752,0.11880674448767833,0.19009079118028535,0.17115434500648508,0.11035019455252919,0.13717250324254215,0.26749675745784696,0.07320363164721141,0.12928664072632945,0.13525291828793776,0.020959792477302206,0.17245136186770427,0.07553826199740597,0.34345006485084306,0.23538261997405965,0.08233463035019455,0.14926070038910505,0.09239948119325551,0.3128923476005188,0.0280674448767834,0.1685603112840467,0.11003891050583657,0.17042801556420234,0.10163424124513619,0.1888456549935149,0.30827496757457845,0.11538261997405966,0.08134889753566796,0.13219195849546045,0.25976653696498053,0.07335927367055772,0.08601815823605707,0.11527885862516213,0.3633722438391699,0.1498313878080415,0.11377431906614786,0.052399481193255514,0.23590142671854733,0.2214785992217899,0.09286640726329443,0.07922178988326849,0.020959792477302206,0.14858625162127106,0.157769130998703,0.1421011673151751,0.08337224383916991,0.061841763942931255
RYR3,107.65097736625515,80.67309670781893,91.70614711934157,115.25945216049382,107.70061728395062,61.868377057613166,50.782407407407405,79.06475051440329,94.1017232510288,91.58899176954732,82.38175154320987,96.8840663580247,114.8838091563786,101.24935699588477,87.60493827160494,114.65689300411523,125.34059927983539,90.88676697530865,104.56661522633745,97.83262602880659,113.96875,90.5466177983539,70.69065072016461,96.63329475308642,106.11310442386831,97.75250771604938,96.67824074074075,76.35429526748972,88.63393775720165,86.95151748971193,85.69849537037037,75.40258487654322,136.18557098765433,65.9270190329218,151.57593878600824,107.17933384773663,83.2860725308642,91.94386574074075,91.06288580246914,75.21354166666667,70.00302211934157,127.88908179012346,162.0079089506173,113.10706018518519,66.5079732510288,86.03388631687243,111.35731738683127,119.252829218107
PLXNA4,46.48360655737705,30.42122443058175,17.76867836936022,49.72493834324677,33.941389815755116,41.09553169882489,31.344770056579137,30.40250979254316,39.503481793123456,39.5736254170898,37.55244450892209,43.142535905991586,38.15479471928043,61.6575511388365,29.224793268533293,36.226679239808504,57.33098795879878,30.84846946177281,43.89859277527927,32.64783113303351,49.26367329174525,36.13811112723052,22.059625707239228,31.34963005948063,35.94284056288989,26.049107790512114,30.335847961700274,59.31633541273756,36.17517771652401,34.32547511968664,28.04990570143624,25.618743652981287,58.31183809661976,20.36007543885101,68.9887567097055,41.88234440736979,28.412374873059626,39.55135644857101,31.84012766574786,27.34310169737415,26.789786740171188,58.077397359640216,51.44733787900769,37.893877847091254,31.935151603075585,27.927680255331495,47.72921804729436,52.47403162628754
